lexemeCurrentNode	lineno	token	valueIfNumber	parentNodeSymbol	isLeafNode	NodeSymbol
----	----	----	----	ROOT	no	<PROGRAM>
----	----	----	----	<PROGRAM>	no	<MAINFUNCTION>
----	----	----	----	<MAINFUNCTION>	no	TK_END
end	24	TK_END	end	TK_END	yes	----
----	----	----	----	<MAINFUNCTION>	no	<STMTS>
----	----	----	----	<STMTS>	no	<RETURNSTMT>
----	----	----	----	<RETURNSTMT>	no	TK_SEM
;	23	TK_SEM	;	TK_SEM	yes	----
----	----	----	----	<RETURNSTMT>	no	<OPTIONALRETURN>
----	----	----	----	<RETURNSTMT>	no	TK_RETURN
return	23	TK_RETURN	return	TK_RETURN	yes	----
----	----	----	----	<STMTS>	no	<OTHERSTMTS>
----	----	----	----	<OTHERSTMTS>	no	<OTHERSTMTS>
----	----	----	----	<OTHERSTMTS>	no	<OTHERSTMTS>
----	----	----	----	<OTHERSTMTS>	no	<OTHERSTMTS>
----	----	----	----	<OTHERSTMTS>	no	<STMT>
----	----	----	----	<STMT>	no	<IOSTMT>
----	----	----	----	<IOSTMT>	no	TK_SEM
;	22	TK_SEM	;	TK_SEM	yes	----
----	----	----	----	<IOSTMT>	no	TK_CL
)	22	TK_CL	)	TK_CL	yes	----
----	----	----	----	<IOSTMT>	no	<ALLVAR>
----	----	----	----	<ALLVAR>	no	<VAR>
----	----	----	----	<VAR>	no	TK_ID
c4bd56	22	TK_ID	c4bd56	TK_ID	yes	----
----	----	----	----	<IOSTMT>	no	TK_OP
(	22	TK_OP	(	TK_OP	yes	----
----	----	----	----	<IOSTMT>	no	TK_WRITE
write	22	TK_WRITE	write	TK_WRITE	yes	----
----	----	----	----	<OTHERSTMTS>	no	<STMT>
----	----	----	----	<STMT>	no	<FUNCALLSTMT>
----	----	----	----	<FUNCALLSTMT>	no	TK_SEM
;	21	TK_SEM	;	TK_SEM	yes	----
----	----	----	----	<FUNCALLSTMT>	no	<INPUTPARAMETERS>
----	----	----	----	<INPUTPARAMETERS>	no	TK_SQR
]	21	TK_SQR	]	TK_SQR	yes	----
----	----	----	----	<INPUTPARAMETERS>	no	<IDLIST>
----	----	----	----	<IDLIST>	no	<MOREIDS>
----	----	----	----	<IDLIST>	no	TK_ID
b3	21	TK_ID	b3	TK_ID	yes	----
----	----	----	----	<INPUTPARAMETERS>	no	TK_SQL
[	21	TK_SQL	[	TK_SQL	yes	----
----	----	----	----	<FUNCALLSTMT>	no	TK_PARAMETERS
parameters	21	TK_PARAMETERS	parameters	TK_PARAMETERS	yes	----
----	----	----	----	<FUNCALLSTMT>	no	TK_WITH
with	21	TK_WITH	with	TK_WITH	yes	----
----	----	----	----	<FUNCALLSTMT>	no	TK_FUNID
_sumN	21	TK_FUNID	_sumN	TK_FUNID	yes	----
----	----	----	----	<FUNCALLSTMT>	no	TK_CALL
call	21	TK_CALL	call	TK_CALL	yes	----
----	----	----	----	<FUNCALLSTMT>	no	<OUTPUTPARAMETERS>
----	----	----	----	<OUTPUTPARAMETERS>	no	TK_ASSIGNOP
<---	21	TK_ASSIGNOP	<---	TK_ASSIGNOP	yes	----
----	----	----	----	<OUTPUTPARAMETERS>	no	TK_SQR
]	21	TK_SQR	]	TK_SQR	yes	----
----	----	----	----	<OUTPUTPARAMETERS>	no	<IDLIST>
----	----	----	----	<IDLIST>	no	<MOREIDS>
----	----	----	----	<IDLIST>	no	TK_ID
c4bd56	21	TK_ID	c4bd56	TK_ID	yes	----
----	----	----	----	<OUTPUTPARAMETERS>	no	TK_SQL
[	21	TK_SQL	[	TK_SQL	yes	----
----	----	----	----	<OTHERSTMTS>	no	<STMT>
----	----	----	----	<STMT>	no	<ASSIGNMENTSTMT>
----	----	----	----	<ASSIGNMENTSTMT>	no	TK_SEM
;	20	TK_SEM	;	TK_SEM	yes	----
----	----	----	----	<ASSIGNMENTSTMT>	no	<ARITHMETICEXPRESSION>
----	----	----	----	<ARITHMETICEXPRESSION>	no	<EXPPRIME>
----	----	----	----	<ARITHMETICEXPRESSION>	no	<TERM>
----	----	----	----	<TERM>	no	<TERMPRIME>
----	----	----	----	<TERM>	no	<FACTOR>
----	----	----	----	<FACTOR>	no	<ALL>
----	----	----	----	<ALL>	no	TK_NUM
7	20	TK_NUM	7	TK_NUM	yes	----
----	----	----	----	<ASSIGNMENTSTMT>	no	TK_ASSIGNOP
<---	20	TK_ASSIGNOP	<---	TK_ASSIGNOP	yes	----
----	----	----	----	<ASSIGNMENTSTMT>	no	<SINGLEORRECID>
----	----	----	----	<SINGLEORRECID>	no	<NEW24>
----	----	----	----	<SINGLEORRECID>	no	TK_ID
b3	20	TK_ID	b3	TK_ID	yes	----
----	----	----	----	<STMTS>	no	<DECLARATIONS>
----	----	----	----	<DECLARATIONS>	no	<DECLARATIONS>
----	----	----	----	<DECLARATIONS>	no	<DECLARATIONS>
----	----	----	----	<DECLARATIONS>	no	<DECLARATION>
----	----	----	----	<DECLARATION>	no	TK_SEM
;	19	TK_SEM	;	TK_SEM	yes	----
----	----	----	----	<DECLARATION>	no	<GLOBALORNOT>
----	----	----	----	<DECLARATION>	no	TK_ID
c4bd56	19	TK_ID	c4bd56	TK_ID	yes	----
----	----	----	----	<DECLARATION>	no	TK_COLON
:	19	TK_COLON	:	TK_COLON	yes	----
----	----	----	----	<DECLARATION>	no	<DATATYPE>
----	----	----	----	<DATATYPE>	no	<PRIMITIVEDATATYPE>
----	----	----	----	<PRIMITIVEDATATYPE>	no	TK_REAL
real	19	TK_REAL	real	TK_REAL	yes	----
----	----	----	----	<DECLARATION>	no	TK_TYPE
type	19	TK_TYPE	type	TK_TYPE	yes	----
----	----	----	----	<DECLARATIONS>	no	<DECLARATION>
----	----	----	----	<DECLARATION>	no	TK_SEM
;	18	TK_SEM	;	TK_SEM	yes	----
----	----	----	----	<DECLARATION>	no	<GLOBALORNOT>
----	----	----	----	<DECLARATION>	no	TK_ID
b3	18	TK_ID	b3	TK_ID	yes	----
----	----	----	----	<DECLARATION>	no	TK_COLON
:	18	TK_COLON	:	TK_COLON	yes	----
----	----	----	----	<DECLARATION>	no	<DATATYPE>
----	----	----	----	<DATATYPE>	no	<PRIMITIVEDATATYPE>
----	----	----	----	<PRIMITIVEDATATYPE>	no	TK_INT
int	18	TK_INT	int	TK_INT	yes	----
----	----	----	----	<DECLARATION>	no	TK_TYPE
type	18	TK_TYPE	type	TK_TYPE	yes	----
----	----	----	----	<STMTS>	no	<TYPEDEFINITIONS>
----	----	----	----	<MAINFUNCTION>	no	TK_MAIN
_main	17	TK_MAIN	_main	TK_MAIN	yes	----
----	----	----	----	<PROGRAM>	no	<OTHERFUNCTIONS>
----	----	----	----	<OTHERFUNCTIONS>	no	<OTHERFUNCTIONS>
----	----	----	----	<OTHERFUNCTIONS>	no	<FUNCTION>
----	----	----	----	<FUNCTION>	no	TK_END
end	15	TK_END	end	TK_END	yes	----
----	----	----	----	<FUNCTION>	no	<STMTS>
----	----	----	----	<STMTS>	no	<RETURNSTMT>
----	----	----	----	<RETURNSTMT>	no	TK_SEM
;	14	TK_SEM	;	TK_SEM	yes	----
----	----	----	----	<RETURNSTMT>	no	<OPTIONALRETURN>
----	----	----	----	<OPTIONALRETURN>	no	TK_SQR
]	14	TK_SQR	]	TK_SQR	yes	----
----	----	----	----	<OPTIONALRETURN>	no	<IDLIST>
----	----	----	----	<IDLIST>	no	<MOREIDS>
----	----	----	----	<IDLIST>	no	TK_ID
d3	14	TK_ID	d3	TK_ID	yes	----
----	----	----	----	<OPTIONALRETURN>	no	TK_SQL
[	14	TK_SQL	[	TK_SQL	yes	----
----	----	----	----	<RETURNSTMT>	no	TK_RETURN
return	14	TK_RETURN	return	TK_RETURN	yes	----
----	----	----	----	<STMTS>	no	<OTHERSTMTS>
----	----	----	----	<OTHERSTMTS>	no	<OTHERSTMTS>
----	----	----	----	<OTHERSTMTS>	no	<OTHERSTMTS>
----	----	----	----	<OTHERSTMTS>	no	<OTHERSTMTS>
----	----	----	----	<OTHERSTMTS>	no	<STMT>
----	----	----	----	<STMT>	no	<ITERATIVESTMT>
----	----	----	----	<ITERATIVESTMT>	no	TK_ENDWHILE
endwhile	13	TK_ENDWHILE	endwhile	TK_ENDWHILE	yes	----
----	----	----	----	<ITERATIVESTMT>	no	<OTHERSTMTS>
----	----	----	----	<OTHERSTMTS>	no	<OTHERSTMTS>
----	----	----	----	<OTHERSTMTS>	no	<OTHERSTMTS>
----	----	----	----	<OTHERSTMTS>	no	<STMT>
----	----	----	----	<STMT>	no	<ASSIGNMENTSTMT>
----	----	----	----	<ASSIGNMENTSTMT>	no	TK_SEM
;	12	TK_SEM	;	TK_SEM	yes	----
----	----	----	----	<ASSIGNMENTSTMT>	no	<ARITHMETICEXPRESSION>
----	----	----	----	<ARITHMETICEXPRESSION>	no	<EXPPRIME>
----	----	----	----	<EXPPRIME>	no	<EXPPRIME>
----	----	----	----	<EXPPRIME>	no	<TERM>
----	----	----	----	<TERM>	no	<TERMPRIME>
----	----	----	----	<TERM>	no	<FACTOR>
----	----	----	----	<FACTOR>	no	<ALL>
----	----	----	----	<ALL>	no	TK_NUM
1	12	TK_NUM	1	TK_NUM	yes	----
----	----	----	----	<EXPPRIME>	no	<LOWPRECEDENCEOPERATORS>
----	----	----	----	<LOWPRECEDENCEOPERATORS>	no	TK_PLUS
+	12	TK_PLUS	+	TK_PLUS	yes	----
----	----	----	----	<ARITHMETICEXPRESSION>	no	<TERM>
----	----	----	----	<TERM>	no	<TERMPRIME>
----	----	----	----	<TERM>	no	<FACTOR>
----	----	----	----	<FACTOR>	no	<ALL>
----	----	----	----	<ALL>	no	TK_ID
b5b567	12	TK_ID	b5b567	TK_ID	yes	----
----	----	----	----	<ASSIGNMENTSTMT>	no	TK_ASSIGNOP
<---	12	TK_ASSIGNOP	<---	TK_ASSIGNOP	yes	----
----	----	----	----	<ASSIGNMENTSTMT>	no	<SINGLEORRECID>
----	----	----	----	<SINGLEORRECID>	no	<NEW24>
----	----	----	----	<SINGLEORRECID>	no	TK_ID
b5b567	12	TK_ID	b5b567	TK_ID	yes	----
----	----	----	----	<OTHERSTMTS>	no	<STMT>
----	----	----	----	<STMT>	no	<ASSIGNMENTSTMT>
----	----	----	----	<ASSIGNMENTSTMT>	no	TK_SEM
;	11	TK_SEM	;	TK_SEM	yes	----
----	----	----	----	<ASSIGNMENTSTMT>	no	<ARITHMETICEXPRESSION>
----	----	----	----	<ARITHMETICEXPRESSION>	no	<EXPPRIME>
----	----	----	----	<EXPPRIME>	no	<EXPPRIME>
----	----	----	----	<EXPPRIME>	no	<TERM>
----	----	----	----	<TERM>	no	<TERMPRIME>
----	----	----	----	<TERM>	no	<FACTOR>
----	----	----	----	<FACTOR>	no	<ALL>
----	----	----	----	<ALL>	no	TK_ID
c3bd	11	TK_ID	c3bd	TK_ID	yes	----
----	----	----	----	<EXPPRIME>	no	<LOWPRECEDENCEOPERATORS>
----	----	----	----	<LOWPRECEDENCEOPERATORS>	no	TK_PLUS
+	11	TK_PLUS	+	TK_PLUS	yes	----
----	----	----	----	<ARITHMETICEXPRESSION>	no	<TERM>
----	----	----	----	<TERM>	no	<TERMPRIME>
----	----	----	----	<TERM>	no	<FACTOR>
----	----	----	----	<FACTOR>	no	<ALL>
----	----	----	----	<ALL>	no	TK_ID
d3	11	TK_ID	d3	TK_ID	yes	----
----	----	----	----	<ASSIGNMENTSTMT>	no	TK_ASSIGNOP
<---	11	TK_ASSIGNOP	<---	TK_ASSIGNOP	yes	----
----	----	----	----	<ASSIGNMENTSTMT>	no	<SINGLEORRECID>
----	----	----	----	<SINGLEORRECID>	no	<NEW24>
----	----	----	----	<SINGLEORRECID>	no	TK_ID
d3	11	TK_ID	d3	TK_ID	yes	----
----	----	----	----	<ITERATIVESTMT>	no	<STMT>
----	----	----	----	<STMT>	no	<IOSTMT>
----	----	----	----	<IOSTMT>	no	TK_SEM
;	10	TK_SEM	;	TK_SEM	yes	----
----	----	----	----	<IOSTMT>	no	TK_CL
)	10	TK_CL	)	TK_CL	yes	----
----	----	----	----	<IOSTMT>	no	<SINGLEORRECID>
----	----	----	----	<SINGLEORRECID>	no	<NEW24>
----	----	----	----	<SINGLEORRECID>	no	TK_ID
c3bd	10	TK_ID	c3bd	TK_ID	yes	----
----	----	----	----	<IOSTMT>	no	TK_OP
(	10	TK_OP	(	TK_OP	yes	----
----	----	----	----	<IOSTMT>	no	TK_READ
read	10	TK_READ	read	TK_READ	yes	----
----	----	----	----	<ITERATIVESTMT>	no	TK_CL
)	9	TK_CL	)	TK_CL	yes	----
----	----	----	----	<ITERATIVESTMT>	no	<BOOLEANEXPRESSION>
----	----	----	----	<BOOLEANEXPRESSION>	no	<VAR>
----	----	----	----	<VAR>	no	TK_ID
d5cc34	9	TK_ID	d5cc34	TK_ID	yes	----
----	----	----	----	<BOOLEANEXPRESSION>	no	<RELATIONALOP>
----	----	----	----	<RELATIONALOP>	no	TK_LE
<=	9	TK_LE	<=	TK_LE	yes	----
----	----	----	----	<BOOLEANEXPRESSION>	no	<VAR>
----	----	----	----	<VAR>	no	TK_ID
b5b567	9	TK_ID	b5b567	TK_ID	yes	----
----	----	----	----	<ITERATIVESTMT>	no	TK_OP
(	9	TK_OP	(	TK_OP	yes	----
----	----	----	----	<ITERATIVESTMT>	no	TK_WHILE
while	9	TK_WHILE	while	TK_WHILE	yes	----
----	----	----	----	<OTHERSTMTS>	no	<STMT>
----	----	----	----	<STMT>	no	<ASSIGNMENTSTMT>
----	----	----	----	<ASSIGNMENTSTMT>	no	TK_SEM
;	8	TK_SEM	;	TK_SEM	yes	----
----	----	----	----	<ASSIGNMENTSTMT>	no	<ARITHMETICEXPRESSION>
----	----	----	----	<ARITHMETICEXPRESSION>	no	<EXPPRIME>
----	----	----	----	<ARITHMETICEXPRESSION>	no	<TERM>
----	----	----	----	<TERM>	no	<TERMPRIME>
----	----	----	----	<TERM>	no	<FACTOR>
----	----	----	----	<FACTOR>	no	<ALL>
----	----	----	----	<ALL>	no	TK_RNUM
0.00	8	TK_RNUM	0.00	TK_RNUM	yes	----
----	----	----	----	<ASSIGNMENTSTMT>	no	TK_ASSIGNOP
= 	8	TK_ASSIGNOP	= 	TK_ASSIGNOP	yes	----
----	----	----	----	<ASSIGNMENTSTMT>	no	<SINGLEORRECID>
----	----	----	----	<SINGLEORRECID>	no	<NEW24>
----	----	----	----	<SINGLEORRECID>	no	TK_ID
d3	8	TK_ID	d3	TK_ID	yes	----
----	----	----	----	<OTHERSTMTS>	no	<STMT>
----	----	----	----	<STMT>	no	<ASSIGNMENTSTMT>
----	----	----	----	<ASSIGNMENTSTMT>	no	TK_SEM
;	7	TK_SEM	;	TK_SEM	yes	----
----	----	----	----	<ASSIGNMENTSTMT>	no	<ARITHMETICEXPRESSION>
----	----	----	----	<ARITHMETICEXPRESSION>	no	<EXPPRIME>
----	----	----	----	<ARITHMETICEXPRESSION>	no	<TERM>
----	----	----	----	<TERM>	no	<TERMPRIME>
----	----	----	----	<TERM>	no	<FACTOR>
----	----	----	----	<FACTOR>	no	<ALL>
----	----	----	----	<ALL>	no	TK_NUM
1	7	TK_NUM	1	TK_NUM	yes	----
----	----	----	----	<ASSIGNMENTSTMT>	no	TK_ASSIGNOP
<---	7	TK_ASSIGNOP	<---	TK_ASSIGNOP	yes	----
----	----	----	----	<ASSIGNMENTSTMT>	no	<SINGLEORRECID>
----	----	----	----	<SINGLEORRECID>	no	<NEW24>
----	----	----	----	<SINGLEORRECID>	no	TK_ID
b5b567	7	TK_ID	b5b567	TK_ID	yes	----
----	----	----	----	<STMTS>	no	<DECLARATIONS>
----	----	----	----	<DECLARATIONS>	no	<DECLARATIONS>
----	----	----	----	<DECLARATIONS>	no	<DECLARATION>
----	----	----	----	<DECLARATION>	no	TK_SEM
;	6	TK_SEM	;	TK_SEM	yes	----
----	----	----	----	<DECLARATION>	no	<GLOBALORNOT>
----	----	----	----	<DECLARATION>	no	TK_ID
b5b567	6	TK_ID	b5b567	TK_ID	yes	----
----	----	----	----	<DECLARATION>	no	TK_COLON
:	6	TK_COLON	:	TK_COLON	yes	----
----	----	----	----	<DECLARATION>	no	<DATATYPE>
----	----	----	----	<DATATYPE>	no	<PRIMITIVEDATATYPE>
----	----	----	----	<PRIMITIVEDATATYPE>	no	TK_INT
int	6	TK_INT	int	TK_INT	yes	----
----	----	----	----	<DECLARATION>	no	TK_TYPE
type	6	TK_TYPE	type	TK_TYPE	yes	----
----	----	----	----	<STMTS>	no	<TYPEDEFINITIONS>
----	----	----	----	<FUNCTION>	no	TK_SEM
;	5	TK_SEM	;	TK_SEM	yes	----
----	----	----	----	<FUNCTION>	no	<OUTPUTPAR>
----	----	----	----	<OUTPUTPAR>	no	TK_SQR
]	5	TK_SQR	]	TK_SQR	yes	----
----	----	----	----	<OUTPUTPAR>	no	<PARAMETERLIST>
----	----	----	----	<PARAMETERLIST>	no	<REMAININGLIST>
----	----	----	----	<PARAMETERLIST>	no	TK_ID
d3	5	TK_ID	d3	TK_ID	yes	----
----	----	----	----	<PARAMETERLIST>	no	<DATATYPE>
----	----	----	----	<DATATYPE>	no	<PRIMITIVEDATATYPE>
----	----	----	----	<PRIMITIVEDATATYPE>	no	TK_REAL
real	5	TK_REAL	real	TK_REAL	yes	----
----	----	----	----	<OUTPUTPAR>	no	TK_SQL
[	5	TK_SQL	[	TK_SQL	yes	----
----	----	----	----	<OUTPUTPAR>	no	TK_LIST
list	5	TK_LIST	list	TK_LIST	yes	----
----	----	----	----	<OUTPUTPAR>	no	TK_PARAMETER
parameter	5	TK_PARAMETER	parameter	TK_PARAMETER	yes	----
----	----	----	----	<OUTPUTPAR>	no	TK_OUTPUT
output	5	TK_OUTPUT	output	TK_OUTPUT	yes	----
----	----	----	----	<FUNCTION>	no	<INPUTPAR>
----	----	----	----	<INPUTPAR>	no	TK_SQR
]	4	TK_SQR	]	TK_SQR	yes	----
----	----	----	----	<INPUTPAR>	no	<PARAMETERLIST>
----	----	----	----	<PARAMETERLIST>	no	<REMAININGLIST>
----	----	----	----	<PARAMETERLIST>	no	TK_ID
d5cc34	4	TK_ID	d5cc34	TK_ID	yes	----
----	----	----	----	<PARAMETERLIST>	no	<DATATYPE>
----	----	----	----	<DATATYPE>	no	<PRIMITIVEDATATYPE>
----	----	----	----	<PRIMITIVEDATATYPE>	no	TK_INT
int	4	TK_INT	int	TK_INT	yes	----
----	----	----	----	<INPUTPAR>	no	TK_SQL
[	4	TK_SQL	[	TK_SQL	yes	----
----	----	----	----	<INPUTPAR>	no	TK_LIST
list	4	TK_LIST	list	TK_LIST	yes	----
----	----	----	----	<INPUTPAR>	no	TK_PARAMETER
parameter	4	TK_PARAMETER	parameter	TK_PARAMETER	yes	----
----	----	----	----	<INPUTPAR>	no	TK_INPUT
input	4	TK_INPUT	input	TK_INPUT	yes	----
----	----	----	----	<FUNCTION>	no	TK_FUNID
_sumN	4	TK_FUNID	_sumN	TK_FUNID	yes	----
